PID   USER     TIME   COMMAND
    1 root       0:00 init
    2 root       0:00 [kthreadd]
    3 root       0:00 [ksoftirqd/0]
    4 root       0:00 [kworker/0:0]
    5 root       0:00 [kworker/0:0H]
    6 root       0:00 [kworker/u4:0]
    7 root       0:00 [rcu_sched]
    8 root       0:00 [rcu_bh]
    9 root       0:00 [migration/0]
   10 root       0:00 [lru-add-drain]
   11 root       0:00 [cpuhp/0]
   12 root       0:00 [cpuhp/1]
   13 root       0:00 [migration/1]
   14 root       0:00 [ksoftirqd/1]
   15 root       0:00 [kworker/1:0]
   16 root       0:00 [kworker/1:0H]
   17 root       0:00 [kdevtmpfs]
   18 root       0:00 [oom_reaper]
   19 root       0:00 [writeback]
   20 root       0:00 [kcompactd0]
   21 root       0:00 [crypto]
   22 root       0:00 [bioset]
   23 root       0:00 [kblockd]
   24 root       0:00 [spi0]
   25 root       0:00 [spi1]
   26 root       0:00 [kworker/0:1]
   27 root       0:00 [spi2]
   28 root       0:00 [cfg80211]
   29 root       0:00 [rpciod]
   30 root       0:00 [xprtiod]
   31 root       0:00 [kswapd0]
   32 root       0:00 [vmstat]
   33 root       0:00 [nfsiod]
   58 root       0:00 [bioset]
   59 root       0:00 [bioset]
   60 root       0:00 [bioset]
   61 root       0:00 [bioset]
   62 root       0:00 [bioset]
   63 root       0:00 [bioset]
   64 root       0:00 [bioset]
   65 root       0:00 [bioset]
   66 root       0:00 [bioset]
   67 root       0:00 [bioset]
   68 root       0:00 [bioset]
   69 root       0:00 [bioset]
   70 root       0:00 [bioset]
   71 root       0:00 [bioset]
   72 root       0:00 [bioset]
   73 root       0:00 [bioset]
   74 root       0:00 [bioset]
   75 root       0:00 [bioset]
   76 root       0:00 [bioset]
   77 root       0:00 [bioset]
   78 root       0:00 [bioset]
   79 root       0:00 [bioset]
   80 root       0:00 [bioset]
   81 root       0:00 [bioset]
   82 root       0:00 [bioset]
   83 root       0:00 [bioset]
   84 root       0:00 [bioset]
   85 root       0:00 [bioset]
   86 root       0:00 [bioset]
   87 root       0:00 [bioset]
   88 root       0:00 [bioset]
   89 root       0:00 [bioset]
   90 root       0:00 [bioset]
   91 root       0:00 [bioset]
   92 root       0:00 [bioset]
   93 root       0:00 [bioset]
   94 root       0:00 [bioset]
   95 root       0:00 [bioset]
   96 root       0:00 [kworker/0:2]
   97 root       0:00 [krfcommd]
   98 root       0:00 [kworker/0:3]
   99 root       0:00 [kworker/0:4]
  102 root       0:00 [ubi_bgt0d]
  103 root       0:00 [ubifs_bgt0_0]
  115 root       0:00 [kworker/1:1]
  118 root       0:00 [kworker/u4:1]
  122 root       0:00 [ubi_bgt1d]
  126 root       0:00 [ubifs_bgt1_0]
  179 root       0:00 [irq/49-VI_CAP0]
  194 root       0:00 [kworker/u4:2]
  231 root       0:00 [hi_vdec_thread]
  247 root       0:00 ./polaris_wifi_bt
  248 root       0:01 ./polestar_app
  249 root       0:02 /app/bin/pgphoto
  267 root       0:00 /usr/local/bin/sshd
  268 root       0:00 -sh
  301 root       0:00 /app/bin/lighttpd -f /etc/lighttpd/lighttpd.conf -m /app/lib/lighttpd/
  323 root       0:00 [wl_event_handle]
  325 root       0:00 [dhd_watchdog_th]
  326 root       0:00 [dhd_dpc]
  327 root       0:00 [dhd_rxf]
  335 root       0:00 [wl_event_handle]
  339 root       0:00 /app/wifi/hostapd -B /app/wifi/hostapd.conf
  343 root       0:00 /app/wifi//udhcpd /app/wifi/udhcpd.conf
  361 root       0:00 [bioset]
  363 root       0:00 [mmcqd/0]
  369 root       0:00 [kworker/0:1H]
  375 root       0:00 [kworker/u5:0]
  376 root       0:00 [hci0]
  377 root       0:00 [hci0]
  380 root       0:00 [kworker/u5:1]
  381 root       0:00 [kworker/u5:2]
  382 root       0:00 [kworker/1:1H]
  395 root       0:00 /app/bluetooth/bin/dbus-daemon --config-file=/app/bluetooth/config/system.conf
  397 root       0:00 /app/bluetooth/libexec/bluetooth/bluetoothd --configfile=/app/bluetooth/config/main.conf --experimental
  510 root       0:00 sshd: root@notty
  513 root       0:00 sh -c ps aux 2>/dev/null || ps -ef
  514 root       0:00 ps aux
